query,name,name_for_emails,subtypes,category,type,phone,website,address,street,city,county,state,state_code,postal_code,country,country_code,latitude,longitude,h3,time_zone,plus_code,area_service,rating,reviews,reviews_link,reviews_tags,reviews_per_score,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,photos_count,photo,street_view,logo,located_in,located_google_id,business_status,working_hours,working_hours_csv_compatible,other_hours,popular_times,typical_time_spent,range,prices,reservation_links,booking_appointment_link,menu_link,order_links,about,description,posts,verified,owner_id,owner_title,owner_link,location_link,location_reviews_link,place_id,google_id,cid,kgmid,reviews_id
" Distribuidora de galletitas, Zona Oeste, CABA, Zona Norte, Zona SUR",Distribuidora Mar y Mar Golosinas,Distribuidora Mar Y Mar Golosinas,"Wholesaler, Grocery store, Candy store",Tienda de golosinas,Wholesaler,+54 11 4924-7638,http://www.golmarymar.com.ar/,"Av. Directorio 492, C1424 Cdad. Autónoma de Buenos Aires",Av. Directorio 492,Buenos Aires,"Parque Chacabuco, Comuna 7",Buenos Aires,,C1424,Argentina,AR,"-34,6281599","-58,4335538",89c2e310057ffff,America/Buenos_Aires,,FALSE,"4,6",78,https://search.google.com/local/reviews?placeid=ChIJtwl6EEzKvJUR9E8Xg7sQ_ms&q=*&authuser=0&hl=en&gl=AR,,"{""1"": 4, ""2"": 1, ""3"": 1, ""4"": 7, ""5"": 65}",4,1,1,7,65,34,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWl_WvZ8cyVat0wwiQMV1ZSWpk4jtrQsk09DjCFyYeSJL3oWastZ1A3sOMLvbM7ZDHE3_B1O1BhyMGNDNnE4NnnCJZexayU7KuRW-YVXG0ttQe9wTDNrHucv2FAgc5ctE46Jblpw9w=w800-h500-k-no,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWl_WvZ8cyVat0wwiQMV1ZSWpk4jtrQsk09DjCFyYeSJL3oWastZ1A3sOMLvbM7ZDHE3_B1O1BhyMGNDNnE4NnnCJZexayU7KuRW-YVXG0ttQe9wTDNrHucv2FAgc5ctE46Jblpw9w=w1600-h1000-k-no,https://lh5.googleusercontent.com/-hIAwbLuara8/AAAAAAAAAAI/AAAAAAAAAAA/A1oCt8pLoPw/s44-p-k-no-ns-nd/photo.jpg,,,OPERATIONAL,"{""Monday"": [""8AM-5PM""], ""Tuesday"": [""8AM-5PM""], ""Wednesday"": [""8AM-5PM""], ""Thursday"": [""8AM-5PM""], ""Friday"": [""8AM-5PM""], ""Saturday"": [""8AM-1PM""], ""Sunday"": [""Closed""]}","Monday,8AM,5PM|Tuesday,8AM,5PM|Wednesday,8AM,5PM|Thursday,8AM,5PM|Friday,8AM,5PM|Saturday,8AM,1PM",,,,,,,,,,"{""Service options"": {""Delivery"": true, ""In-store pick-up"": true, ""In-store shopping"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": false}, ""Planning"": {""Quick visit"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",,,TRUE,110762437901594263394,Distribuidora Mar y Mar Golosinas,https://www.google.com/maps/contrib/110762437901594263394,"https://www.google.com/maps/place/Distribuidora+Mar+y+Mar+Golosinas/@-34.6281599,-58.4335538,14z/data=!4m8!1m2!2m1!1sDistribuidora+Mar+y+Mar+Golosinas!3m4!1s0x95bcca4c107a09b7:0x6bfe10bb83174ff4!8m2!3d-34.6281599!4d-58.4335538","https://www.google.com/maps/place/Distribuidora+Mar+y+Mar+Golosinas/@-34.6281599,-58.4335538,13.99z/data=!4m16!1m7!3m6!1s0x95bcca4c107a09b7:0x6bfe10bb83174ff4!2sDistribuidora+Mar+y+Mar+Golosinas!8m2!3d-34.6281599!4d-58.4335538!16s%2Fg%2F11ckvg1dmb!3m7!1s0x95bcca4c107a09b7:0x6bfe10bb83174ff4!8m2!3d-34.6281599!4d-58.4335538!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJtwl6EEzKvJUR9E8Xg7sQ_ms,0x95bcca4c107a09b7:0x6bfe10bb83174ff4,7781675603687067636,/g/11b6_hxqb7,7781675603687067636
" Distribuidora de galletitas, Zona Oeste, CABA, Zona Norte, Zona SUR",FIORITO Mayorista Golosinas-Galletitas,Fiorito Mayorista Golosinas Galletitas,"Wholesaler, Grocery store",Mayorista,Wholesaler,+54 11 4941-2577,,"Cochabamba 2499, C1247AAM Cdad. Autónoma de Buenos Aires",Cochabamba 2499,Buenos Aires,"San Cristóbal, Comuna 3",Buenos Aires,,C1247,Argentina,AR,"-34,6247969","-58,4004405",89c2e311567ffff,America/Buenos_Aires,,FALSE,5,2,https://search.google.com/local/reviews?placeid=ChIJa_qFeB7LvJURjvTRrI9G7NY&q=*&authuser=0&hl=en&gl=AR,,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 2}",0,0,0,0,2,7,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWl7q46FePaEGlNgVZ0eD0UoTQTB2W_fgxiXjOfxyCXIzNyJSo-zqPVzLZXac1mpJZ907BJujp_7GZT3r-FTt8F7J57uURSSMTCii8y7t0IEWjIwYGZKqQCokZFhpotzY-qsot5z=w800-h500-k-no,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWl7q46FePaEGlNgVZ0eD0UoTQTB2W_fgxiXjOfxyCXIzNyJSo-zqPVzLZXac1mpJZ907BJujp_7GZT3r-FTt8F7J57uURSSMTCii8y7t0IEWjIwYGZKqQCokZFhpotzY-qsot5z=w1600-h1000-k-no,,,,OPERATIONAL,"{""Monday"": [""8AM-6PM""], ""Tuesday"": [""8AM-6PM""], ""Wednesday"": [""8AM-6PM""], ""Thursday"": [""8AM-6PM""], ""Friday"": [""8AM-6PM""], ""Saturday"": [""8AM-1PM""], ""Sunday"": [""Closed""]}","Monday,8AM,6PM|Tuesday,8AM,6PM|Wednesday,8AM,6PM|Thursday,8AM,6PM|Friday,8AM,6PM|Saturday,8AM,1PM",,,,,,,,,,,,,FALSE,None,FIORITO Mayorista Golosinas-Galletitas,,"https://www.google.com/maps/place/FIORITO+Mayorista+Golosinas-Galletitas/@-34.6247969,-58.400440499999995,14z/data=!4m8!1m2!2m1!1sFIORITO+Mayorista+Golosinas-Galletitas!3m4!1s0x95bccb1e7885fa6b:0xd6ec468facd1f48e!8m2!3d-34.6247969!4d-58.400440499999995","https://www.google.com/maps/place/FIORITO+Mayorista+Golosinas-Galletitas/@-34.6247969,-58.400440499999995,13.99z/data=!4m16!1m7!3m6!1s0x95bccb1e7885fa6b:0xd6ec468facd1f48e!2sFIORITO+Mayorista+Golosinas-Galletitas!8m2!3d-34.6247969!4d-58.400440499999995!16s%2Fg%2F11ckvg1dmb!3m7!1s0x95bccb1e7885fa6b:0xd6ec468facd1f48e!8m2!3d-34.6247969!4d-58.400440499999995!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJa_qFeB7LvJURjvTRrI9G7NY,0x95bccb1e7885fa6b:0xd6ec468facd1f48e,15486830801514001550,/g/11c1r2rzdc,-2959913272195550066
" Distribuidora de galletitas, Zona Oeste, CABA, Zona Norte, Zona SUR",Distribuidora Pop,Distribuidora Pop,"Confectionery wholesaler, Beauty products wholesaler, Beverage distributor, Household goods wholesaler, Hygiene articles wholesaler, Tobacco shop, Tobacco supplier, Wholesale food store, Wholesaler",Mayorista de confitería,Confectionery wholesaler,+54 11 3952-8296,https://www.distribuidorapop.com.ar/,"Julio Argentino Roca 4298 Loc 121, B1604BZN Florida Oeste, Provincia de Buenos Aires",Julio Argentino Roca 4298 Loc 121,Florida Oeste,None,Buenos Aires Province,,B1604,Argentina,AR,"-34,542864","-58,5154963",89c2e31500fffff,America/Buenos_Aires,,FALSE,"4,4",196,https://search.google.com/local/reviews?placeid=ChIJoVNqaN21vJURGXoXK4BWXE4&q=*&authuser=0&hl=en&gl=AR,,"{""1"": 20, ""2"": 3, ""3"": 6, ""4"": 16, ""5"": 151}",20,3,6,16,151,1092,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmF2KvU_1CP0WoGZYM--vOUmj3HGyZh2_4jRft2TIi3VL5_4kFt15O1llKUQz1wF8ab_IDc4CL6Y8-FMXaHj24pAVEPrpTZEQx-ZgDBQsLsUYe_Ay53mKJjc5FYi8Pk52Auhlrn=w800-h500-k-no,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmF2KvU_1CP0WoGZYM--vOUmj3HGyZh2_4jRft2TIi3VL5_4kFt15O1llKUQz1wF8ab_IDc4CL6Y8-FMXaHj24pAVEPrpTZEQx-ZgDBQsLsUYe_Ay53mKJjc5FYi8Pk52Auhlrn=w1600-h1000-k-no,https://lh6.googleusercontent.com/-TqilLQ2bpDw/AAAAAAAAAAI/AAAAAAAAAAA/rH3MtlLEvBY/s44-p-k-no-ns-nd/photo.jpg,,,OPERATIONAL,"{""Monday"": [""9:30AM-6PM""], ""Tuesday"": [""9:30AM-6PM""], ""Wednesday"": [""9:30AM-6PM""], ""Thursday"": [""9:30AM-6PM""], ""Friday"": [""9:30AM-6PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}","Monday,9:30AM,6PM|Tuesday,9:30AM,6PM|Wednesday,9:30AM,6PM|Thursday,9:30AM,6PM|Friday,9:30AM,6PM","[{""pickup"": {""Monday"": ""9:30 AM-6 PM"", ""Tuesday"": ""9:30 AM-6 PM"", ""Wednesday"": ""9:30 AM-6 PM"", ""Thursday"": ""9:30 AM-6 PM"", ""Friday"": ""9:30 AM-6 PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}}, {""online_service_hours"": {""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}}]",,,,,,,,,"{""Service options"": {""Delivery"": true, ""On-site services"": true}, ""Amenities"": {""Gender-neutral toilets"": true, ""Toilet"": true}, ""Payments"": {""Cheques"": true, ""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Parking"": {""Free of charge street parking"": true}}",,,TRUE,117849974493388537092,Distribuidora Pop,https://www.google.com/maps/contrib/117849974493388537092,"https://www.google.com/maps/place/Distribuidora+Pop/@-34.542864,-58.515496299999995,14z/data=!4m8!1m2!2m1!1sDistribuidora+Pop!3m4!1s0x95bcb5dd686a53a1:0x4e5c56802b177a19!8m2!3d-34.542864!4d-58.515496299999995","https://www.google.com/maps/place/Distribuidora+Pop/@-34.542864,-58.515496299999995,13.99z/data=!4m16!1m7!3m6!1s0x95bcb5dd686a53a1:0x4e5c56802b177a19!2sDistribuidora+Pop!8m2!3d-34.542864!4d-58.515496299999995!16s%2Fg%2F11ckvg1dmb!3m7!1s0x95bcb5dd686a53a1:0x4e5c56802b177a19!8m2!3d-34.542864!4d-58.515496299999995!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",ChIJoVNqaN21vJURGXoXK4BWXE4,0x95bcb5dd686a53a1:0x4e5c56802b177a19,5646483141294520857,/g/1q6bl62wk,5646483141294520857
